"ItemID"	"Status"	"ItemName"
1	"SKIPPED (Non-Match, SiteID)"	"01187300_Gage_20130101_20150101.csv"
2	"SKIPPED (Non-Match, SiteID)"	"07032000_Gage_20140930_20141231.csv"
3	"COMPLETE"	"test2_AW_20130426_20130725.csv"
4	"COMPLETE"	"test2_AW_20130725_20131015.csv"
5	"COMPLETE"	"test2_AW_20140901_20140930.csv"
6	"SKIPPED (Non-Match, SiteID)"	"test4_AW_20160418_20160726.csv"
