Date,Browns,Hubbard,Parkers,Cold,WBrSwift
2014-01-01,0.512020833,0.069083333,0.266916667,-0.004,0.009416667
2014-01-02,0.321583333,0.078416667,0.156145833,-0.004,-0.004
2014-01-03,0.024,0.079,0.102916667,-0.001083333,0.015833333
2014-01-04,0.024,0.079,0.1385,-0.001666667,-0.0005
2014-01-05,0.280625,0.079,0.207208333,-0.001666667,-0.003416667
2014-01-06,0.519770833,0.079,0.216145833,-0.00925,-0.004
2014-01-07,0.121979167,0.055083333,0.010479167,-0.004583333,-0.004
2014-01-08,0.024,0.072583333,0.0616875,-0.004,-0.004
2014-01-09,0.0245625,0.079583333,0.1300625,-0.004,-0.004
2014-01-10,0.239125,0.079,0.235291667,-0.004,0.003
2014-01-11,0.786895833,0.079,0.663625,-0.004583333,0.01525
2014-01-12,0.845229167,0.079,0.9043125,0.021666667,-0.003416667
2014-01-13,0.9039375,0.093,1.28425,0.125541667,0.035229167
2014-01-14,1.567791667,0.149,2.149479167,0.395416667,0.246770833
2014-01-15,1.443145833,0.1804375,1.413729167,0.522083333,0.261145833
2014-01-16,1.765625,0.858833333,1.801043478,0.748375,0.575166667
2014-01-17,1.907291667,0.8151875,2.0841875,0.506104167,0.922208333
2014-01-18,1.665791667,0.548958333,1.617625,0.063020833,0.8194375
2014-01-19,1.244895833,0.143208333,1.453645833,-0.004,0.575875
2014-01-20,1.188875,0.330854167,1.465875,0.002375,0.736375
2014-01-21,0.2408125,0.072020833,0.349854167,-0.005166667,0.009270833
2014-01-22,0.024,0.079,0.06675,-0.002833333,-0.004
2014-01-23,0.024,0.079,0.11225,-0.002833333,-0.004
2014-01-24,0.025125,0.079,0.133125,-0.002833333,0.007083333
2014-01-25,0.026270833,0.079,0.187416667,-0.004,0.024
2014-01-26,0.079770833,0.079,0.172375,-0.004,0.024
2014-01-27,0.276166667,0.079,0.281354167,-0.004,0.048833333
2014-01-28,0.0285,0.079,0.176458333,-0.004,0.024
2014-01-29,0.035375,0.079,0.187520833,-0.002833333,0.0245625
2014-01-30,0.039958333,0.079,0.1770625,-0.002833333,0.0256875
2014-01-31,0.231541667,0.079,0.434958333,-0.004,0.0739375
2014-02-01,0.5375,0.079583333,0.913625,-0.0005,0.171833333
2014-02-02,0.722083333,0.079583333,1.540729167,0.022833333,0.278
2014-02-03,0.579729167,0.079,1.420583333,0.056979167,0.343729167
2014-02-04,0.372583333,0.0825,0.800604167,0.065583333,0.360395833
2014-02-05,0.146270833,0.079,0.4320625,0.065,0.138104167
2014-02-06,0.0458125,0.083083333,0.2808125,0.097666667,0.123125
2014-02-07,0.043395833,0.081916667,0.119645833,0.118666667,0.013375
2014-02-08,0.0555625,0.081916667,0.160520833,0.128,0.043458333
2014-02-09,0.161854167,0.098833333,0.494625,0.149,0.190125
2014-02-10,0.132416667,0.10525,0.508145833,0.17875,0.1901875
2014-02-11,0.040520833,0.087166667,0.115729167,0.1894375,0.0064375
2014-02-12,0.041645833,0.087166667,0.139291667,0.169083333,0.008833333
2014-02-13,0.047625,0.09475,0.145854167,0.150166667,0.024416667
2014-02-14,0.042645833,0.086583333,0.187916667,0.132041667,0.05025
2014-02-15,0.10175,0.107,0.430479167,0.219166667,0.104666667
2014-02-16,0.113416667,0.109333333,0.598833333,0.231416667,0.144083333
2014-02-17,0.07325,0.109333333,0.3838125,0.238375,0.080958333
2014-02-18,0.0523125,0.109333333,0.1615,0.241916667,0.043333333
2014-02-19,0.06675,0.116333333,0.3304375,0.28425,0.077625
2014-02-20,0.1839375,0.132666667,1.1516875,0.330958333,0.256604167
2014-02-21,0.160270833,0.083666667,1.448458333,0.094875,0.061625
