"","SiteID","Date","Time","Date.Time","Water.Temp.C","Water.LoggerID","Water.RowID","Flag.Date.Time","Flag.Water.Temp.C","Month","Day","Year","Flag.Gross.Water.Temp.C","Flag.Spike.Water.Temp.C","Flag.RoC.Water.Temp.C","Flag.Flat.Water.Temp.C","Comment.MOD.Date.Time","RAW.Date.Time","Comment.MOD.Water.Temp.C","RAW.Water.Temp.C","ID_Full","ID_Depth","ID_DepthUnits"
"28","Ellis","2018-05-25","18:01:00","2018-05-25 18:01:00",17.391,20312702,28,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 18:01:00",NA,17.391,"Ellis~1.0m","1.0","m"
"29","Ellis","2018-05-25","19:01:00","2018-05-25 19:01:00",17.272,20312702,29,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 19:01:00",NA,17.272,"Ellis~1.0m","1.0","m"
"30","Ellis","2018-05-25","20:01:00","2018-05-25 20:01:00",17.296,20312702,30,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 20:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"31","Ellis","2018-05-25","21:01:00","2018-05-25 21:01:00",17.177,20312702,31,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 21:01:00",NA,17.177,"Ellis~1.0m","1.0","m"
"32","Ellis","2018-05-25","22:01:00","2018-05-25 22:01:00",17.296,20312702,32,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 22:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"33","Ellis","2018-05-25","23:01:00","2018-05-25 23:01:00",17.415,20312702,33,NA,"P",5,25,2018,"P","P","P","P",NA,"2018-05-25 23:01:00",NA,17.415,"Ellis~1.0m","1.0","m"
"34","Ellis","2018-05-26","00:01:00","2018-05-26 00:01:00",17.296,20312702,34,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 00:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"35","Ellis","2018-05-26","01:01:00","2018-05-26 01:01:00",17.153,20312702,35,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 01:01:00",NA,17.153,"Ellis~1.0m","1.0","m"
"36","Ellis","2018-05-26","02:01:00","2018-05-26 02:01:00",17.225,20312702,36,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 02:01:00",NA,17.225,"Ellis~1.0m","1.0","m"
"37","Ellis","2018-05-26","03:01:00","2018-05-26 03:01:00",17.201,20312702,37,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 03:01:00",NA,17.201,"Ellis~1.0m","1.0","m"
"38","Ellis","2018-05-26","04:01:00","2018-05-26 04:01:00",17.153,20312702,38,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 04:01:00",NA,17.153,"Ellis~1.0m","1.0","m"
"39","Ellis","2018-05-26","05:01:00","2018-05-26 05:01:00",17.13,20312702,39,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 05:01:00",NA,17.13,"Ellis~1.0m","1.0","m"
"40","Ellis","2018-05-26","06:01:00","2018-05-26 06:01:00",17.058,20312702,40,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 06:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"41","Ellis","2018-05-26","07:01:00","2018-05-26 07:01:00",17.13,20312702,41,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 07:01:00",NA,17.13,"Ellis~1.0m","1.0","m"
"42","Ellis","2018-05-26","08:01:00","2018-05-26 08:01:00",17.034,20312702,42,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 08:01:00",NA,17.034,"Ellis~1.0m","1.0","m"
"43","Ellis","2018-05-26","09:01:00","2018-05-26 09:01:00",17.106,20312702,43,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 09:01:00",NA,17.106,"Ellis~1.0m","1.0","m"
"44","Ellis","2018-05-26","10:01:00","2018-05-26 10:01:00",17.106,20312702,44,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 10:01:00",NA,17.106,"Ellis~1.0m","1.0","m"
"45","Ellis","2018-05-26","11:01:00","2018-05-26 11:01:00",17.177,20312702,45,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 11:01:00",NA,17.177,"Ellis~1.0m","1.0","m"
"46","Ellis","2018-05-26","12:01:00","2018-05-26 12:01:00",17.272,20312702,46,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 12:01:00",NA,17.272,"Ellis~1.0m","1.0","m"
"47","Ellis","2018-05-26","13:01:00","2018-05-26 13:01:00",17.368,20312702,47,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 13:01:00",NA,17.368,"Ellis~1.0m","1.0","m"
"48","Ellis","2018-05-26","14:01:00","2018-05-26 14:01:00",17.463,20312702,48,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 14:01:00",NA,17.463,"Ellis~1.0m","1.0","m"
"49","Ellis","2018-05-26","15:01:00","2018-05-26 15:01:00",17.796,20312702,49,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 15:01:00",NA,17.796,"Ellis~1.0m","1.0","m"
"50","Ellis","2018-05-26","16:01:00","2018-05-26 16:01:00",17.891,20312702,50,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 16:01:00",NA,17.891,"Ellis~1.0m","1.0","m"
"51","Ellis","2018-05-26","17:01:00","2018-05-26 17:01:00",17.843,20312702,51,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 17:01:00",NA,17.843,"Ellis~1.0m","1.0","m"
"52","Ellis","2018-05-26","18:01:00","2018-05-26 18:01:00",17.772,20312702,52,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 18:01:00",NA,17.772,"Ellis~1.0m","1.0","m"
"53","Ellis","2018-05-26","19:01:00","2018-05-26 19:01:00",17.867,20312702,53,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 19:01:00",NA,17.867,"Ellis~1.0m","1.0","m"
"54","Ellis","2018-05-26","20:01:00","2018-05-26 20:01:00",17.915,20312702,54,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 20:01:00",NA,17.915,"Ellis~1.0m","1.0","m"
"55","Ellis","2018-05-26","21:01:00","2018-05-26 21:01:00",17.819,20312702,55,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 21:01:00",NA,17.819,"Ellis~1.0m","1.0","m"
"56","Ellis","2018-05-26","22:01:00","2018-05-26 22:01:00",17.748,20312702,56,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 22:01:00",NA,17.748,"Ellis~1.0m","1.0","m"
"57","Ellis","2018-05-26","23:01:00","2018-05-26 23:01:00",17.653,20312702,57,NA,"P",5,26,2018,"P","P","P","P",NA,"2018-05-26 23:01:00",NA,17.653,"Ellis~1.0m","1.0","m"
"58","Ellis","2018-05-27","00:01:00","2018-05-27 00:01:00",17.582,20312702,58,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 00:01:00",NA,17.582,"Ellis~1.0m","1.0","m"
"59","Ellis","2018-05-27","01:01:00","2018-05-27 01:01:00",17.486,20312702,59,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 01:01:00",NA,17.486,"Ellis~1.0m","1.0","m"
"60","Ellis","2018-05-27","02:01:00","2018-05-27 02:01:00",17.344,20312702,60,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 02:01:00",NA,17.344,"Ellis~1.0m","1.0","m"
"61","Ellis","2018-05-27","03:01:00","2018-05-27 03:01:00",17.296,20312702,61,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 03:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"62","Ellis","2018-05-27","04:01:00","2018-05-27 04:01:00",17.153,20312702,62,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 04:01:00",NA,17.153,"Ellis~1.0m","1.0","m"
"63","Ellis","2018-05-27","05:01:00","2018-05-27 05:01:00",17.058,20312702,63,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 05:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"64","Ellis","2018-05-27","06:01:00","2018-05-27 06:01:00",17.034,20312702,64,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 06:01:00",NA,17.034,"Ellis~1.0m","1.0","m"
"65","Ellis","2018-05-27","07:01:00","2018-05-27 07:01:00",17.058,20312702,65,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 07:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"66","Ellis","2018-05-27","08:01:00","2018-05-27 08:01:00",17.106,20312702,66,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 08:01:00",NA,17.106,"Ellis~1.0m","1.0","m"
"67","Ellis","2018-05-27","09:01:00","2018-05-27 09:01:00",17.058,20312702,67,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 09:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"68","Ellis","2018-05-27","10:01:00","2018-05-27 10:01:00",17.058,20312702,68,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 10:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"69","Ellis","2018-05-27","11:01:00","2018-05-27 11:01:00",17.13,20312702,69,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 11:01:00",NA,17.13,"Ellis~1.0m","1.0","m"
"70","Ellis","2018-05-27","12:01:00","2018-05-27 12:01:00",17.296,20312702,70,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 12:01:00",NA,17.296,"Ellis~1.0m","1.0","m"
"71","Ellis","2018-05-27","13:01:00","2018-05-27 13:01:00",17.391,20312702,71,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 13:01:00",NA,17.391,"Ellis~1.0m","1.0","m"
"72","Ellis","2018-05-27","14:01:00","2018-05-27 14:01:00",17.582,20312702,72,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 14:01:00",NA,17.582,"Ellis~1.0m","1.0","m"
"73","Ellis","2018-05-27","15:01:00","2018-05-27 15:01:00",17.701,20312702,73,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 15:01:00",NA,17.701,"Ellis~1.0m","1.0","m"
"74","Ellis","2018-05-27","16:01:00","2018-05-27 16:01:00",17.915,20312702,74,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 16:01:00",NA,17.915,"Ellis~1.0m","1.0","m"
"75","Ellis","2018-05-27","17:01:00","2018-05-27 17:01:00",17.867,20312702,75,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 17:01:00",NA,17.867,"Ellis~1.0m","1.0","m"
"76","Ellis","2018-05-27","18:01:00","2018-05-27 18:01:00",17.748,20312702,76,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 18:01:00",NA,17.748,"Ellis~1.0m","1.0","m"
"77","Ellis","2018-05-27","19:01:00","2018-05-27 19:01:00",17.677,20312702,77,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 19:01:00",NA,17.677,"Ellis~1.0m","1.0","m"
"78","Ellis","2018-05-27","20:01:00","2018-05-27 20:01:00",17.629,20312702,78,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 20:01:00",NA,17.629,"Ellis~1.0m","1.0","m"
"79","Ellis","2018-05-27","21:01:00","2018-05-27 21:01:00",17.558,20312702,79,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 21:01:00",NA,17.558,"Ellis~1.0m","1.0","m"
"80","Ellis","2018-05-27","22:01:00","2018-05-27 22:01:00",17.439,20312702,80,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 22:01:00",NA,17.439,"Ellis~1.0m","1.0","m"
"81","Ellis","2018-05-27","23:01:00","2018-05-27 23:01:00",17.344,20312702,81,NA,"P",5,27,2018,"P","P","P","P",NA,"2018-05-27 23:01:00",NA,17.344,"Ellis~1.0m","1.0","m"
"82","Ellis","2018-05-28","00:01:00","2018-05-28 00:01:00",17.249,20312702,82,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 00:01:00",NA,17.249,"Ellis~1.0m","1.0","m"
"83","Ellis","2018-05-28","01:01:00","2018-05-28 01:01:00",17.177,20312702,83,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 01:01:00",NA,17.177,"Ellis~1.0m","1.0","m"
"84","Ellis","2018-05-28","02:01:00","2018-05-28 02:01:00",17.13,20312702,84,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 02:01:00",NA,17.13,"Ellis~1.0m","1.0","m"
"85","Ellis","2018-05-28","03:01:00","2018-05-28 03:01:00",17.106,20312702,85,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 03:01:00",NA,17.106,"Ellis~1.0m","1.0","m"
"86","Ellis","2018-05-28","04:01:00","2018-05-28 04:01:00",17.058,20312702,86,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 04:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"87","Ellis","2018-05-28","05:01:00","2018-05-28 05:01:00",17.058,20312702,87,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 05:01:00",NA,17.058,"Ellis~1.0m","1.0","m"
"88","Ellis","2018-05-28","06:01:00","2018-05-28 06:01:00",17.011,20312702,88,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 06:01:00",NA,17.011,"Ellis~1.0m","1.0","m"
"89","Ellis","2018-05-28","07:01:00","2018-05-28 07:01:00",16.963,20312702,89,NA,"P",5,28,2018,"P","P","P","P",NA,"2018-05-28 07:01:00",NA,16.963,"Ellis~1.0m","1.0","m"
