"ItemID"	"Status"	"ItemName"
1	"COMPLETE"	"Charlies_Air_20170726_20170926.csv"
2	"COMPLETE"	"Charlies_AW_20170726_20170926.csv"
3	"COMPLETE"	"Charlies_Water_20170726_20170926.csv"
