7392-354869
OS REV: 1.11 Sensor Cal: 1511389810
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1576426620,+3.42, +6.986, +8.689,+1.005
1576428420,+3.42, +6.928, +8.571,+1.005
1576430220,+3.42, +6.967, +8.527,+1.004
1576432020,+3.42, +6.900, +8.573,+1.005
1576433820,+3.42, +6.823, +8.677,+1.005
1576435620,+3.42, +7.082, +8.762,+1.006
1576437420,+3.42, +7.274, +8.845,+1.006
1576439220,+3.42, +7.379, +9.009,+1.005
1576441020,+3.42, +7.369, +9.155,+1.006
1576442820,+3.42, +7.379, +9.150,+1.005
1576444620,+3.42, +7.455, +9.180,+1.005
1576446420,+3.42, +7.474, +9.192,+1.005
1576448220,+3.42, +7.254, +9.224,+1.005
1576450020,+3.42, +7.274, +9.206,+1.005
1576451820,+3.42, +7.197, +9.213,+1.005
1576453620,+3.42, +7.053, +9.199,+1.006
1576455420,+3.42, +7.092, +9.174,+1.006
1576457220,+3.42, +6.765, +9.148,+1.005
1576459020,+3.42, +6.620, +9.105,+1.005
1576460820,+3.42, +6.572, +9.068,+1.005
1576462620,+3.42, +6.523, +9.090,+1.005
1576464420,+3.42, +6.504, +9.039,+1.005
1576466220,+3.42, +6.465, +9.024,+1.005
1576468020,+3.42, +6.436, +9.022,+1.005
1576469820,+3.41, +6.378, +9.030,+1.005
1576471620,+3.41, +6.310, +9.044,+1.006
1576473420,+3.41, +6.319, +9.021,+1.006
1576475220,+3.41, +6.329, +9.009,+1.006
1576477020,+3.41, +6.300, +9.011,+1.006
1576478820,+3.41, +6.290, +8.968,+1.005
1576480620,+3.41, +6.271, +8.968,+1.006
1576482420,+3.41, +6.242, +8.945,+1.004
1576484220,+3.41, +6.222, +8.949,+1.006
1576486020,+3.41, +6.183, +8.934,+1.006
1576487820,+3.41, +6.144, +8.917,+1.005
1576489620,+3.41, +6.125, +8.932,+1.005
1576491420,+3.41, +6.076, +8.931,+1.005
1576493220,+3.41, +6.056, +8.913,+1.005
1576495020,+3.41, +6.037, +8.875,+1.006
1576496820,+3.41, +5.909, +8.811,+1.005
1576498620,+3.41, +5.860, +8.684,+1.005
1576500420,+3.41, +5.713, +8.592,+1.005
1576502220,+3.41, +5.644, +8.626,+1.006
1576504020,+3.41, +5.556, +8.608,+1.006
1576505820,+3.41, +5.506, +8.557,+1.007
1576507620,+3.41, +5.457, +8.460,+1.005
1576509420,+3.41, +5.427, +8.428,+1.006
1576511220,+3.41, +5.427, +8.315,+1.006
1576513020,+3.41, +5.388, +8.347,+1.007
