7392-354869
OS REV: 1.11 Sensor Cal: 1511389810
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1576250220,+3.49,+14.287, +9.654,+1.004
1576252020,+3.49,+11.875,+10.149,+1.004
1576253820,+3.49, +7.474, +9.274,+0.997
1576255620,+3.48, +4.024, +9.592,+1.004
1576257420,+3.48, +4.055, +9.670,+1.005
1576259220,+3.48, +4.146, +9.701,+1.006
1576261020,+3.48, +4.186, +9.706,+1.004
1576262820,+3.48, +4.267, +9.735,+1.004
1576264620,+3.48, +4.378, +9.783,+1.005
1576266420,+3.48, +4.298, +9.759,+1.006
1576268220,+3.48, +4.277, +9.755,+1.005
1576270020,+3.47, +4.257, +9.796,+1.005
1576271820,+3.47, +4.378, +9.758,+1.004
1576273620,+3.47, +4.378, +9.775,+1.005
1576275420,+3.47, +4.298, +9.776,+1.005
1576277220,+3.47, +4.328, +9.794,+1.006
1576279020,+3.47, +4.409, +9.787,+1.005
1576280820,+3.47, +4.429, +9.819,+1.005
1576282620,+3.47, +4.520, +9.888,+1.005
1576284420,+3.47, +4.550, +9.858,+1.004
1576286220,+3.47, +4.580, +9.837,+1.005
1576288020,+3.47, +4.600, +9.859,+1.005
1576289820,+3.47, +4.760, +9.910,+1.005
1576291620,+3.46, +4.791, +9.909,+1.006
1576293420,+3.46, +4.851, +9.900,+1.005
1576295220,+3.46, +4.861, +9.943,+1.005
1576297020,+3.46, +4.930, +9.928,+1.004
1576298820,+3.46, +4.950, +9.937,+1.004
1576300620,+3.46, +5.090, +9.904,+1.005
1576302420,+3.46, +5.486, +9.781,+1.005
1576304220,+3.46, +5.762, +9.675,+1.005
1576306020,+3.46, +5.900, +9.582,+1.005
1576307820,+3.46, +5.939, +9.477,+1.005
1576309620,+3.46, +5.890, +9.440,+1.004
1576311420,+3.46, +5.831, +9.501,+1.006
1576313220,+3.46, +5.743, +9.553,+1.004
1576315020,+3.46, +5.644, +9.701,+1.003
1576316820,+3.46, +5.467,+10.003,+1.004
1576318620,+3.45, +5.279,+10.216,+1.004
1576320420,+3.45, +5.179,+10.191,+1.005
1576322220,+3.45, +5.110, +9.985,+1.004
1576324020,+3.45, +5.070, +9.969,+1.004
1576325820,+3.45, +5.110, +9.977,+1.004
1576327620,+3.45, +5.199, +9.928,+1.005
1576329420,+3.45, +5.328, +9.897,+1.005
1576331220,+3.45, +5.417, +9.894,+1.005
1576333020,+3.45, +5.486, +9.878,+1.006
1576334820,+3.45, +5.644, +9.839,+1.005
1576336620,+3.45, +5.939, +9.768,+1.004
